,Adaptability,Adapts Well to Apartment Living,Good For Novice Owners,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,All Around Friendliness,Affectionate with Family,Incredibly Kid Friendly Dogs,Dog Friendly,Friendly Toward Strangers,Health Grooming,Amount Of Shedding,Drooling Potential,Easy To Groom,General Health,Potential For Weight Gain,Size,Trainability,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,Exercise Needs,Energy Level,Intensity,Potential For Playfulness
French Spaniel,3,2,4,4,3,4,2,4,5,4,4,4,3,3,2,3,4,2,3,3,4,4,2,3,2,2,4,5,3,4
German Pinscher,3,3,3,4,3,3,4,3,5,3,2,2,3,3,1,5,4,3,3,4,4,5,3,5,3,4,5,5,3,5
German Shepherd Dog,3,3,2,5,2,4,3,4,5,5,2,4,4,5,1,5,4,2,4,4,5,5,5,4,4,2,5,5,5,5
German Sheprador,3,2,1,5,2,4,4,5,5,5,4,4,4,5,2,5,3,3,4,4,5,5,5,3,2,2,5,5,5,5
German Shorthaired Pointer,2,1,2,4,1,2,4,4,5,5,4,3,3,2,2,5,3,3,3,5,5,5,4,5,3,5,5,5,3,5
German Spitz,3,4,2,3,3,3,2,4,5,4,3,3,3,4,1,2,4,4,1,4,2,4,4,5,4,2,4,5,3,4
German Wirehaired Pointer,3,2,3,4,2,3,4,3,5,3,3,2,3,2,2,4,4,3,4,4,4,5,4,4,3,5,5,5,4,5
Giant Schnauzer,2,1,1,4,2,4,2,3,5,3,3,2,3,4,1,2,4,3,4,4,5,4,3,4,4,4,5,5,2,5
Glen of Imaal Terrier,3,4,2,3,3,3,4,4,5,5,2,3,3,1,1,5,5,3,1,4,4,4,3,5,4,3,4,4,5,4
Goberian,3,1,2,3,2,5,2,4,4,4,4,2,3,2,1,5,4,4,4,3,2,5,3,4,2,4,5,5,4,4
Goldador,4,2,4,3,4,5,4,5,5,5,5,5,3,3,2,4,4,3,4,3,4,5,2,1,1,4,5,5,5,5
Golden Cocker Retriever,3,1,4,4,1,2,4,4,5,4,4,3,3,4,1,4,4,4,3,3,4,4,2,2,3,4,4,5,2,5
Golden Mountain Dog,2,1,2,2,2,5,1,4,5,5,4,3,4,4,4,2,3,4,5,3,4,4,2,2,3,4,5,4,2,5
Golden Retriever,3,2,3,5,1,3,3,5,5,5,5,5,4,5,4,2,2,5,3,4,5,5,5,3,3,2,5,5,2,5
Golden Shepherd,3,2,2,5,1,5,4,5,5,5,3,5,3,5,2,2,3,3,5,4,5,5,5,3,3,2,5,5,3,5
Goldendoodle,3,1,4,4,3,3,3,5,5,5,5,4,3,2,1,4,3,3,4,3,4,5,1,1,3,3,5,4,3,5
Gollie,3,1,4,3,2,3,3,5,5,5,4,4,3,4,2,3,3,4,3,3,4,4,2,2,2,4,4,5,3,5
Gordon Setter,3,2,3,4,1,4,3,3,5,3,2,3,3,5,3,2,4,3,3,4,5,5,3,4,5,4,5,5,2,5
Great Dane,2,1,1,5,1,2,3,5,5,5,5,5,4,5,4,5,4,2,5,3,5,3,2,3,4,3,5,5,5,5
Great Pyrenees,3,1,1,4,3,5,3,4,5,4,4,3,4,5,2,4,2,4,5,4,1,4,2,5,5,5,5,5,5,4
Greater Swiss Mountain Dog,3,1,2,4,3,5,1,5,5,5,5,3,3,3,1,5,2,4,5,3,3,3,3,4,4,3,3,5,4,5
Greyhound,3,4,2,5,1,1,5,5,5,5,4,5,5,4,5,5,4,5,4,4,5,5,4,5,2,5,5,5,3,4
Hamiltonstovare,3,3,2,4,3,3,3,4,5,4,3,3,3,1,1,4,4,3,3,3,3,4,2,5,3,2,4,5,3,4
Hanoverian Scenthound,3,2,1,4,3,3,3,4,5,5,4,3,3,2,1,4,4,3,4,3,2,4,2,4,3,2,4,4,3,4
Harrier,3,1,3,2,3,3,4,5,4,5,5,5,3,3,1,5,5,3,3,4,2,4,3,4,4,5,5,5,4,5
Havanese,4,5,5,4,1,3,4,5,5,4,5,5,2,2,1,1,3,4,2,3,5,4,3,4,2,2,3,3,2,5
Hokkaido,3,3,2,2,3,5,2,4,4,4,3,3,3,4,2,1,5,3,3,3,3,4,3,4,3,3,3,3,2,3
Horgi,3,2,2,4,2,4,3,5,5,5,4,5,3,4,2,3,3,3,2,4,4,4,4,4,3,3,4,4,3,4
Huskita,3,2,1,4,1,5,3,3,5,2,2,3,3,4,3,1,4,3,4,4,2,3,3,4,5,5,5,4,4,5
Huskydoodle,3,2,2,3,2,4,3,4,4,4,4,3,3,3,2,3,4,4,3,3,3,5,3,4,2,2,5,5,4,4
Ibizan Hound,3,5,3,4,2,1,4,5,5,5,5,4,3,3,1,5,4,1,3,4,3,4,3,5,2,5,5,5,3,5
Icelandic Sheepdog,3,1,1,3,2,5,3,3,4,4,2,2,3,5,1,1,3,3,3,3,3,4,3,4,1,4,4,4,5,4
Irish Red and White Setter,3,1,3,4,1,4,3,4,5,4,4,4,2,3,1,3,2,2,3,4,4,4,4,3,3,4,5,5,5,5
Irish Setter,3,1,3,4,2,4,3,5,5,5,5,5,3,4,2,3,2,3,4,5,4,5,5,5,4,5,5,5,3,5
Irish Terrier,3,3,2,3,2,4,4,4,5,5,1,3,3,4,1,2,5,3,3,3,1,4,1,2,4,3,4,5,4,5
Irish Water Spaniel,3,3,2,4,3,4,4,5,5,5,4,5,2,1,2,3,2,3,3,4,5,4,3,5,4,3,5,5,3,4
Irish Wolfhound,2,1,2,3,2,4,2,5,5,5,5,5,3,3,1,3,1,3,5,3,3,4,3,5,1,3,4,2,2,4
Italian Greyhound,3,5,5,5,1,1,3,5,5,5,4,4,3,2,1,5,3,2,2,4,3,3,4,5,3,3,4,4,2,4
Jack Chi,3,4,2,3,3,2,4,4,4,5,4,3,3,2,2,5,4,4,2,3,2,4,2,4,2,4,4,4,4,5
Jack Russell Terrier,3,3,2,3,3,4,3,5,5,4,5,4,3,3,1,3,4,4,2,4,4,5,4,5,4,4,5,5,5,5
Japanese Chin,3,5,4,3,1,3,2,3,3,3,3,4,2,3,1,3,3,3,1,3,3,3,4,3,3,1,2,2,1,4
Japanese Spitz,3,4,4,3,2,4,3,4,4,5,4,2,3,3,1,4,3,2,2,3,4,4,2,2,4,2,3,3,2,4
Korean Jindo Dog,3,3,2,3,2,5,2,4,5,3,3,4,3,5,1,1,4,2,3,3,2,5,2,5,,5,5,4,4,4
Karelian Bear Dog,3,2,1,4,2,5,3,3,4,3,1,2,3,3,1,4,4,2,3,4,2,4,4,5,4,5,4,4,5,4
Keeshond,4,4,4,5,1,5,3,5,5,5,4,4,3,5,1,3,3,4,3,3,4,4,3,3,4,2,3,4,3,5
Kerry Blue Terrier,3,3,2,3,3,4,3,4,4,4,2,5,2,1,1,2,3,3,3,4,4,4,4,3,4,3,5,4,4,4
Komondor,3,2,1,4,1,4,3,3,5,3,1,1,3,3,2,2,2,3,4,4,4,4,3,2,5,4,4,2,1,4
Kooikerhondje,3,4,3,4,2,4,3,2,3,2,2,2,3,3,1,2,5,3,3,3,1,4,3,3,3,3,5,4,5,4
Kuvasz,3,1,1,5,1,5,2,2,5,1,2,1,4,4,3,4,4,4,5,2,2,4,1,1,3,3,5,4,4,4
Kyi-Leo,4,5,4,3,4,5,2,4,5,5,4,3,2,2,1,2,3,3,2,3,3,3,4,1,4,2,2,4,3,4
Lab Pointer,3,1,4,3,1,4,4,4,5,4,3,4,3,2,2,4,4,4,4,4,5,4,2,4,2,4,5,5,3,4
Labernese,3,2,4,4,1,4,2,4,4,5,4,3,3,4,3,3,2,4,4,3,3,4,3,3,2,4,4,4,2,5
Labmaraner,3,1,4,4,1,3,3,4,4,5,4,3,3,1,2,4,4,4,4,4,4,4,3,3,3,4,5,4,3,5
Labrabull,3,2,2,4,1,3,3,4,5,5,2,5,4,5,2,5,3,3,4,4,5,5,5,3,3,4,4,5,5,5
Labradane,3,1,2,3,2,4,4,4,5,5,4,3,4,2,3,4,4,4,5,3,3,4,2,3,1,3,4,4,2,5
Labradoodle,4,3,4,3,4,5,4,5,5,4,5,5,3,3,1,4,4,3,4,3,4,4,1,2,2,3,5,5,4,5
Labrador Retriever,3,1,3,5,2,3,3,5,5,5,5,5,4,5,3,5,3,5,4,4,5,5,5,2,4,3,5,5,5,5
Labrastaff,3,2,2,4,1,3,3,4,4,4,3,4,4,4,3,3,4,4,4,3,2,4,3,3,3,4,4,4,3,4
Labsky,2,2,2,2,2,5,1,4,5,4,3,3,3,4,2,2,3,4,4,4,4,5,3,4,4,4,5,5,4,5
Lagotto Romagnolo,3,2,4,3,3,4,3,3,3,3,3,3,2,1,2,1,4,3,2,3,4,4,2,4,3,3,4,4,2,4
Lakeland Terrier,3,4,3,3,2,4,4,4,5,4,3,3,3,2,1,2,5,3,2,3,2,4,1,4,2,3,4,5,4,4
Lancashire Heeler,3,2,2,3,3,3,3,3,4,3,3,2,3,3,1,4,4,4,1,3,3,4,2,2,2,4,3,4,4,4
Leonberger,2,1,1,4,2,5,1,4,5,4,3,2,4,5,3,4,1,4,5,3,2,3,4,4,3,2,4,4,4,4
Lhasa Apso,4,5,5,5,4,3,2,3,4,4,3,2,2,3,1,1,3,3,1,3,3,4,3,4,4,2,3,4,3,5
Lowchen,3,5,4,3,1,3,3,5,5,5,4,4,3,3,1,3,5,3,1,4,5,4,3,4,4,5,4,4,3,5
Maltese,3,5,5,4,1,1,3,4,5,3,4,2,2,2,1,2,3,3,1,3,4,4,3,4,2,1,2,3,3,4
Maltese Shih Tzu,3,5,5,3,3,2,2,3,4,3,3,3,2,1,1,2,2,3,1,4,4,3,4,5,4,1,3,3,2,3
Maltipoo,4,5,5,5,1,2,3,4,5,4,4,4,2,1,1,3,2,2,2,4,5,4,3,2,5,4,2,3,3,4
Manchester Terrier,3,5,3,3,3,1,3,3,4,3,3,3,3,3,1,5,2,4,2,3,2,4,2,4,4,4,4,4,4,4
Mastador,3,1,2,4,3,4,2,4,5,5,3,3,4,4,4,4,4,4,4,3,4,4,4,2,2,2,4,4,4,4
Mastiff,2,2,1,3,3,4,1,4,5,5,2,2,4,3,5,3,3,4,5,2,3,2,4,2,2,1,4,3,3,4
Miniature Pinscher,3,5,3,5,2,1,3,3,5,3,2,3,3,2,1,5,3,5,1,3,3,3,2,3,1,5,4,4,3,5
Miniature Schnauzer,4,4,3,4,5,4,4,4,5,3,3,3,2,2,1,2,3,4,2,4,5,4,2,4,3,3,5,5,3,4
Morkie,3,3,2,3,2,2,3,3,4,3,2,3,2,1,1,3,4,4,1,4,3,4,5,3,5,2,4,4,3,5
Mudi,3,2,4,4,2,3,3,3,4,2,2,2,3,3,1,4,4,2,2,4,5,4,3,4,4,4,4,4,2,4
Mutt,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,4,4,3,3,3,3,3,3,3,3
Neapolitan Mastiff,2,2,1,4,1,1,2,3,5,4,2,1,4,3,5,3,2,5,5,2,3,3,2,1,1,1,3,3,1,4
Newfoundland,3,1,3,4,1,5,2,5,5,5,4,4,4,5,5,2,1,4,5,4,5,4,3,4,4,3,3,3,1,4
Norfolk Terrier,4,4,5,4,3,4,4,5,5,4,5,4,3,1,1,4,5,5,1,3,5,4,2,1,3,4,4,4,4,5
Norwegian Buhund,3,3,3,3,4,5,2,4,5,5,3,3,3,3,1,2,4,3,3,3,4,3,3,2,4,4,5,4,4,5
Norwegian Elkhound,4,4,4,4,2,5,3,4,5,4,4,4,3,5,1,3,4,4,3,4,2,4,3,4,4,4,5,5,3,4
Norwegian Lundehund,3,1,1,3,2,5,3,5,5,5,5,5,3,5,1,4,3,3,3,3,4,5,3,2,1,5,5,4,4,5
Norwich Terrier,4,5,3,4,2,4,4,5,5,5,5,5,3,2,1,2,4,5,1,4,4,4,4,3,4,4,4,5,4,5
Nova Scotia Duck Tolling Retriever,4,5,3,3,2,4,4,5,5,5,4,4,3,3,1,5,4,4,3,4,4,5,4,5,4,3,5,5,3,5
Old English Sheepdog,4,5,4,4,2,4,2,4,5,4,4,4,3,1,4,1,4,4,4,3,3,4,2,3,1,2,4,4,3,4
Otterhound,3,1,4,2,5,4,3,5,5,5,5,4,3,4,1,2,4,3,4,4,2,4,3,5,2,5,5,5,4,5
Papillon,3,5,5,3,1,2,4,4,5,3,4,5,2,2,1,3,3,3,1,3,5,4,3,4,2,1,5,4,3,5
Papipoo,4,5,5,4,1,2,4,4,5,3,4,4,2,1,1,2,3,3,1,3,5,5,3,3,2,2,5,5,3,5
Peekapoo,4,5,5,4,2,3,2,4,5,4,4,3,2,2,1,2,3,4,1,3,3,4,4,3,4,1,3,3,2,4
Pekingese,3,5,4,2,3,4,1,3,5,2,2,2,2,4,1,1,2,3,1,4,3,4,3,5,4,3,2,2,1,3
Pembroke Welsh Corgi,4,4,4,4,3,4,3,4,5,4,3,5,3,5,1,4,3,4,2,3,5,5,2,3,2,2,4,4,3,4
Petit Basset Griffon Vendeen,3,4,3,3,3,4,3,5,5,5,5,5,3,4,1,2,3,4,2,4,1,4,3,5,5,5,5,5,4,5
Pharaoh Hound,4,4,4,5,2,1,5,5,5,5,5,4,3,2,1,4,5,3,3,4,3,4,4,5,4,4,4,2,3,4
Pitsky,2,2,1,4,1,3,3,5,5,5,3,5,3,4,2,3,4,2,3,4,3,3,4,3,4,4,5,4,4,5
Plott,2,1,1,4,2,2,4,4,4,3,5,3,3,2,1,5,5,3,3,4,4,3,3,5,1,5,5,4,4,3
Pocket Beagle,3,4,3,4,2,2,4,5,5,5,5,4,3,3,1,5,3,5,2,4,3,4,4,3,5,5,4,4,4,4
Pointer,2,1,1,3,1,2,4,5,5,5,5,5,3,3,1,5,3,3,3,5,5,5,5,5,3,5,5,5,5,5
Polish Lowland Sheepdog,4,4,2,4,3,4,4,4,5,4,3,3,2,1,1,1,4,3,3,3,4,4,3,3,2,3,4,4,3,4
Pomapoo,3,5,5,4,1,3,2,4,5,3,3,3,2,3,1,1,3,4,1,3,4,4,3,2,3,1,3,3,3,4
Pomchi,3,4,3,3,3,2,4,3,4,3,3,3,3,3,1,2,5,4,1,4,3,4,4,3,4,3,3,3,4,4
Pomeagle,3,4,4,4,1,3,2,4,5,3,3,3,3,4,1,2,3,4,1,3,3,2,3,3,5,4,3,4,3,4
Pomeranian,3,4,4,4,1,4,2,3,5,2,2,3,3,4,1,2,3,4,1,3,4,4,2,2,5,1,2,3,2,3
Pomsky,3,5,2,4,1,5,3,3,5,2,3,3,3,4,1,2,3,3,2,4,3,4,3,4,5,2,3,4,2,4
Poochon,4,5,5,5,1,3,4,5,5,5,4,4,2,1,1,1,3,4,2,3,5,4,3,3,2,2,4,4,3,5
Poodle,4,5,5,4,1,3,4,5,5,5,4,4,2,1,1,1,2,4,4,4,5,5,4,2,2,3,4,4,3,5
Portuguese Podengo Pequeno,3,5,4,3,3,2,3,4,4,4,4,4,3,3,1,4,4,2,1,4,4,3,3,4,4,3,3,5,3,3
Portuguese Water Dog,3,4,3,4,2,4,3,5,5,5,5,3,2,1,1,2,4,3,3,4,4,5,5,3,3,3,5,5,3,5
Pug,3,5,5,3,1,2,1,4,5,4,4,4,3,5,1,5,1,5,2,2,3,2,2,3,2,2,3,3,4,5
Pugalier,4,5,5,5,2,2,2,5,5,5,5,5,3,4,1,4,3,5,2,3,4,3,3,3,3,2,3,3,3,5
Puggle,4,4,5,3,3,3,3,5,3,5,5,5,3,3,1,5,4,5,2,3,2,3,3,2,4,5,3,3,2,3
Puli,3,4,1,4,2,4,3,4,5,5,5,2,2,1,1,1,5,3,3,4,2,4,3,4,4,5,5,5,5,5
Pyrenean Shepherd,3,5,2,4,1,4,3,4,5,5,2,2,2,3,1,3,2,3,2,3,2,4,3,4,5,2,5,4,5,5
Rat Terrier,3,5,3,4,3,1,4,4,4,5,3,4,3,4,1,5,4,3,1,3,5,4,2,4,1,4,4,5,4,5
Redbone Coonhound,3,4,2,5,2,3,2,4,5,5,4,3,3,2,4,5,3,3,3,4,3,4,4,4,4,5,5,4,4,5
Rhodesian Ridgeback,3,1,2,4,2,3,3,4,5,4,4,3,4,4,1,5,4,3,4,3,2,4,3,5,1,5,5,4,4,5
Rottador,3,3,2,5,1,4,3,4,5,4,3,3,4,4,4,5,2,5,4,4,4,5,4,3,4,3,5,5,5,5
Rottle,3,4,3,3,3,3,3,4,5,4,3,3,3,2,2,4,4,3,3,3,5,5,3,3,2,2,4,4,3,5
Rottweiler,2,2,1,4,1,2,3,4,5,4,2,4,4,4,4,5,2,5,3,4,4,5,3,4,4,2,4,4,4,5
Saint Berdoodle,3,2,5,3,2,4,3,5,5,5,5,4,3,3,1,4,4,3,4,3,4,4,3,3,3,3,3,3,3,3
Saint Bernard,3,3,2,4,1,5,1,5,5,5,5,5,4,4,5,2,2,4,5,2,2,4,3,1,1,2,2,3,2,4
Saluki,2,1,2,5,1,2,3,4,5,4,4,1,3,2,1,4,4,1,4,4,4,4,4,5,1,5,5,5,2,5
Samoyed,3,2,2,4,2,5,1,5,5,5,5,5,3,5,2,1,3,4,3,4,3,3,3,5,3,4,5,5,2,5
Samusky,3,2,3,3,2,5,3,4,4,5,4,4,3,4,2,2,3,4,4,3,3,5,3,3,2,4,4,5,3,5
Schipperke,3,4,4,4,3,3,2,3,4,5,2,2,3,3,1,5,4,5,1,3,2,4,3,2,4,5,5,5,3,5
Schnoodle,3,3,5,4,2,2,4,4,4,5,3,3,3,2,1,4,3,4,4,3,4,5,3,3,2,3,4,4,3,4
Scottish Deerhound,3,1,1,3,2,4,4,4,5,4,2,5,3,5,1,2,3,4,5,3,2,3,4,5,1,4,5,5,5,5
Scottish Terrier,3,4,2,4,3,4,3,4,5,4,4,4,2,2,1,2,4,3,2,3,1,4,3,3,4,5,4,4,4,4
Sealyham Terrier,4,4,4,4,2,4,3,4,4,4,4,3,3,4,3,1,5,3,2,3,3,4,2,2,2,3,4,4,2,4
Sheepadoodle,4,4,4,5,2,4,3,5,5,5,4,4,3,1,1,3,4,4,4,3,3,5,3,1,2,2,4,4,3,5
Shepsky,3,1,1,4,2,4,3,4,5,4,3,4,3,4,2,3,4,2,4,4,4,5,4,4,3,2,5,5,4,5
Shetland Sheepdog,3,2,3,5,2,4,3,5,5,5,4,5,3,5,1,2,4,3,1,3,5,5,1,3,1,2,4,4,2,4
Shiba Inu,4,5,4,3,5,4,3,3,4,3,3,3,3,4,1,4,3,2,2,4,2,4,4,3,4,4,3,4,2,3
Shichon,3,5,4,4,1,2,2,5,5,5,4,4,3,1,1,4,4,3,2,2,3,4,1,1,2,1,3,4,2,5
Shih-Poo,3,5,2,4,2,3,2,4,5,3,2,4,2,1,1,2,3,4,1,3,2,4,3,2,2,2,2,3,1,4
Shih Tzu,3,5,5,3,3,3,1,5,5,4,4,5,2,3,1,1,3,4,1,3,3,4,4,4,2,2,2,2,3,4
Shiranian,3,4,4,4,2,2,1,4,5,3,3,4,2,2,2,2,2,3,2,2,2,4,1,1,2,2,2,2,3,4
Shollie,3,1,2,3,2,4,4,3,4,4,3,2,3,4,2,3,3,4,4,4,4,4,3,3,3,4,4,5,4,4
Shorkie,3,5,3,3,1,2,2,3,4,3,2,3,2,2,1,4,2,3,1,3,2,3,2,4,4,3,2,4,3,5
Siberian Husky,3,2,1,4,1,5,3,5,5,5,5,5,3,3,3,2,4,2,3,4,2,3,4,3,5,5,5,5,3,5
Silken Windhound,4,4,4,4,2,4,4,4,5,4,3,4,3,2,2,4,4,2,3,4,5,4,3,5,1,4,4,4,2,5
Silky Terrier,3,5,3,3,3,1,4,3,4,3,2,3,3,2,1,4,4,3,1,4,4,4,2,5,4,3,3,4,4,4
Skye Terrier,4,4,4,3,2,4,4,4,4,4,2,5,3,3,1,3,5,3,2,4,2,4,3,4,4,4,3,3,4,4
Sloughi,3,4,2,4,3,2,3,4,5,5,4,3,3,3,1,5,3,2,4,3,3,4,3,5,2,3,5,5,3,3
Small Munsterlander Pointer,3,1,2,3,4,5,3,5,5,5,5,4,3,3,1,3,5,3,3,4,5,5,3,5,3,4,5,4,5,4
Soft Coated Wheaten Terrier,3,5,4,4,2,2,3,5,5,5,5,5,3,2,1,3,4,3,3,3,4,4,2,3,3,4,4,4,3,5
Spanish Mastiff,3,2,1,3,3,4,3,3,4,4,2,2,3,3,2,3,4,3,5,2,2,4,2,1,1,2,3,3,2,4
Springador,3,2,3,4,1,4,4,3,4,3,3,3,3,1,2,4,4,4,4,4,5,5,2,4,3,4,4,4,3,4
Stabyhoun,3,2,3,4,3,2,2,4,5,5,4,3,3,3,1,3,5,3,3,4,5,5,1,4,3,3,4,3,4,5
Staffordshire Bull Terrier,2,3,1,4,2,3,1,4,5,5,1,5,3,3,3,5,3,4,2,3,2,3,2,2,3,4,4,3,3,5
Standard Schnauzer,3,4,2,4,2,4,4,3,4,4,3,2,2,1,1,2,5,1,3,4,3,5,3,5,2,5,5,5,3,5
Sussex Spaniel,4,5,5,5,1,5,5,5,5,5,5,5,3,3,1,4,4,5,2,3,3,5,2,1,4,1,2,2,1,4
Swedish Vallhund,3,3,1,3,3,4,3,4,5,4,3,5,4,4,1,5,4,4,3,3,5,5,2,4,1,3,5,5,3,5
Terripoo,3,5,5,2,1,3,4,4,5,4,3,3,2,1,1,3,3,3,1,4,4,5,2,4,3,3,4,5,3,5
Tibetan Mastiff,3,1,1,5,1,5,2,4,5,5,5,2,3,2,2,4,3,4,5,3,1,5,5,3,2,3,2,4,2,5
Tibetan Spaniel,3,5,4,5,1,1,2,4,5,5,4,3,3,3,1,4,5,3,1,4,4,4,3,3,4,3,4,3,3,4
Tibetan Terrier,4,5,3,4,1,4,4,4,5,5,4,3,2,1,1,1,5,3,2,3,4,4,2,2,2,3,5,5,4,5
Toy Fox Terrier,3,5,3,4,1,2,3,4,5,4,3,3,3,4,1,5,5,2,1,4,3,4,2,5,4,4,5,5,4,5
Treeing Tennessee Brindle,2,1,2,3,2,3,3,4,4,4,4,3,4,4,3,5,4,3,3,3,3,4,3,4,1,1,5,4,4,3
Treeing Walker Coonhound,3,1,2,5,2,3,3,4,4,4,3,3,4,3,2,5,4,3,4,4,2,4,3,4,5,5,5,4,4,3
Valley Bulldog,3,4,3,4,2,1,1,4,5,4,3,4,4,4,3,5,3,4,4,3,3,3,2,3,4,1,4,4,4,4
Vizsla,3,1,3,5,1,1,4,5,5,5,5,5,3,2,1,5,4,2,3,4,5,4,4,2,5,5,5,5,4,5
Weimaraner,3,1,2,5,1,3,4,4,5,4,3,3,4,4,4,5,3,2,4,4,4,5,5,5,2,5,5,5,5,5
Welsh Springer Spaniel,4,4,4,5,1,4,4,4,5,5,4,3,3,3,1,4,4,4,3,4,5,5,3,3,5,5,5,5,4,4
Welsh Terrier,3,3,3,3,2,2,2,5,4,5,5,4,3,2,1,2,5,3,2,4,3,5,2,5,4,4,5,5,5,5
West Highland White Terrier,4,4,4,4,2,4,3,4,5,4,5,3,3,4,1,3,3,4,2,4,4,4,2,4,4,3,4,4,4,4
Westiepoo,3,3,4,4,1,3,3,4,4,4,4,4,3,1,1,5,4,4,2,4,4,4,3,4,3,3,4,4,4,5
Whippet,3,5,3,5,2,1,4,5,5,5,4,4,3,2,1,5,4,1,3,4,4,4,4,5,1,4,5,5,2,5
Whoodle,3,4,1,3,1,4,2,4,4,4,3,4,3,2,1,3,4,2,3,2,2,4,1,2,1,3,4,4,4,4
Wirehaired Pointing Griffon,3,1,3,4,1,4,3,5,5,5,4,5,3,1,1,3,4,3,3,4,5,5,3,4,4,4,4,5,3,5
Xoloitzcuintli,3,5,1,5,1,3,3,3,5,3,2,1,4,5,1,5,5,3,3,4,3,5,3,5,5,5,3,3,3,3
Yorkipoo,4,5,5,4,3,2,3,4,5,4,3,2,2,1,1,4,3,2,1,4,4,4,3,3,5,2,3,5,3,4
Yorkshire Terrier,3,5,4,5,2,2,2,3,4,2,3,2,2,2,1,1,4,2,1,3,3,3,2,2,3,3,4,5,4,5
